Instance	vCPU*	CPU Credits/hour	Mem (GiB)	Storage	Network Performance (Gbps)***	EBS Bandwidth (Gbps)	Processor
t3.nano	2	6	0.5	EBS-Only	Up to 5		Up to 3.1 GHz Intel Xeon Platinum Processor, Intel AVX†, Intel AVX2†, Intel Turbo
t3.micro	2	12	1	EBS-Only	Up to 5		Up to 3.1 GHz Intel Xeon Platinum Processor, Intel AVX†, Intel AVX2†, Intel Turbo
t3.small	2	24	2	EBS-Only	Up to 5		Up to 3.1 GHz Intel Xeon Platinum Processor, Intel AVX†, Intel AVX2†, Intel Turbo
t3.medium	2	24	4	EBS-Only	Up to 5		Up to 3.1 GHz Intel Xeon Platinum Processor, Intel AVX†, Intel AVX2†, Intel Turbo
t3.large	2	36	8	EBS-Only	Up to 5		Up to 3.1 GHz Intel Xeon Platinum Processor, Intel AVX†, Intel AVX2†, Intel Turbo
t3.xlarge	4	96	16	EBS-Only	Up to 5		Up to 3.1 GHz Intel Xeon Platinum Processor, Intel AVX†, Intel AVX2†, Intel Turbo
t3.2xlarge	8	192	32	EBS-Only	Up to 5		Up to 3.1 GHz Intel Xeon Platinum Processor, Intel AVX†, Intel AVX2†, Intel Turbo
t3a.nano	2	6	0.5	EBS-Only	Up to 5		AMD EPYC 7000 series processors with an all core turbo clock speed of 2.5 GHz
t3a.micro	2	12	1	EBS-Only	Up to 5		AMD EPYC 7000 series processors with an all core turbo clock speed of 2.5 GHz
t3a.small	2	24	2	EBS-Only	Up to 5		AMD EPYC 7000 series processors with an all core turbo clock speed of 2.5 GHz
t3a.medium	2	24	4	EBS-Only	Up to 5		AMD EPYC 7000 series processors with an all core turbo clock speed of 2.5 GHz
t3a.large	2	36	8	EBS-Only	Up to 5		AMD EPYC 7000 series processors with an all core turbo clock speed of 2.5 GHz
t3a.xlarge	4	96	16	EBS-Only	Up to 5		AMD EPYC 7000 series processors with an all core turbo clock speed of 2.5 GHz
t3a.2xlarge	8	192	32	EBS-Only	Up to 5		AMD EPYC 7000 series processors with an all core turbo clock speed of 2.5 GHz
t2.nano	1	3	0.5	EBS-Only	Low		3.3 GHz Intel Scalable Processor
t2.micro	1	6	1	EBS-Only	Low to Moderate		3.3 GHz Intel Scalable Processor
t2.small	1	12	2	EBS-Only	Low to Moderate		3.3 GHz Intel Scalable Processor
t2.medium	2	24	4	EBS-Only	Low to Moderate		3.3 GHz Intel Scalable Processor
t2.large	2	36	8	EBS-Only	Low to Moderate		3.0 GHz Intel Scalable Processor
t2.xlarge	4	54	16	EBS-Only	Moderate		3.0 GHz Intel Scalable Processor
t2.2xlarge	8	81	32	EBS-Only	Moderate		3.0 GHz Intel Scalable Processor
m6i.large	2		8	EBS-Only	Up to 12.5	Up to 10	Up to 3.5 GHz 3rd generation Intel Xeon Scalable processors
m6i.xlarge	4		16	EBS-Only	Up to 12.5	Up to 10	Up to 3.5 GHz 3rd generation Intel Xeon Scalable processors
m6i.2xlarge	8		32	EBS-Only	Up to 12.5	Up to 10	Up to 3.5 GHz 3rd generation Intel Xeon Scalable processors
m6i.4xlarge	16		64	EBS-Only	Up to 12.5	Up to 10	Up to 3.5 GHz 3rd generation Intel Xeon Scalable processors
