Instance	Cost	Windows
a1.medium	$0.0049 per Hour	N/A*
a1.large	$0.0098 per Hour	N/A*
a1.xlarge	$0.0197 per Hour	N/A*
a1.2xlarge	$0.0394 per Hour	N/A*
a1.4xlarge	$0.0788 per Hour	N/A*
a1.metal	$0.0788 per Hour	N/A*
t2.micro	$0.0035 per Hour	$0.0081 per Hour
t2.small	$0.0069 per Hour	$0.0159 per Hour
t2.medium	$0.0139 per Hour	$0.0319 per Hour
t2.large	$0.0278 per Hour	$0.0558 per Hour
t2.xlarge	$0.0557 per Hour	$0.0967 per Hour
t2.2xlarge	$0.1114 per Hour	$0.1734 per Hour
t3.nano	$0.0016 per Hour	$0.0062 per Hour
t3.micro	$0.0031 per Hour	$0.0123 per Hour
t3.small	$0.0062 per Hour	$0.0246 per Hour
t3.medium	$0.0125 per Hour	$0.0309 per Hour
t3.large	$0.025 per Hour	$0.0526 per Hour
t3.xlarge	$0.0499 per Hour	$0.1235 per Hour
t3.2xlarge	$0.0998 per Hour	$0.247 per Hour
t3a.2xlarge	$0.093 per Hour	$0.2374 per Hour
t3a.large	$0.0226 per Hour	$0.0502 per Hour
t3a.medium	$0.0113 per Hour	$0.0297 per Hour
t3a.micro	$0.003 per Hour	$0.012 per Hour
t3a.nano	$0.0016 per Hour	$0.006 per Hour
t3a.small	$0.0056 per Hour	$0.024 per Hour
t3a.xlarge	$0.0458 per Hour	$0.1187 per Hour
m3.medium	N/A*	N/A*
m3.large	N/A*	N/A*
m3.xlarge	N/A*	N/A*
m3.2xlarge	N/A*	N/A*
m4.large	$0.019 per Hour	$0.111 per Hour
m4.xlarge	$0.0388 per Hour	$0.222 per Hour
m4.2xlarge	$0.0824 per Hour	$0.444 per Hour
m4.4xlarge	$0.1685 per Hour	$0.888 per Hour
m4.10xlarge	$0.3846 per Hour	$2.2201 per Hour
m4.16xlarge	$0.6081 per Hour	$3.5521 per Hour
m5.large	$0.02 per Hour	$0.112 per Hour
m5.xlarge	$0.0399 per Hour	$0.2239 per Hour
m5.2xlarge	$0.084 per Hour	$0.4478 per Hour
m5.4xlarge	$0.1638 per Hour	$0.8956 per Hour
m5.8xlarge	$0.3398 per Hour	$1.7913 per Hour
m5.12xlarge	$0.5168 per Hour	$2.6869 per Hour
m5.16xlarge	$0.6725 per Hour	$3.5825 per Hour
m5.24xlarge	$0.9578 per Hour	$5.3738 per Hour
m5ad.large	$0.02 per Hour	$0.112 per Hour
m5ad.xlarge	$0.0406 per Hour	$0.2239 per Hour
m5ad.2xlarge	$0.0822 per Hour	$0.4478 per Hour
m5ad.4xlarge	$0.1671 per Hour	$0.8956 per Hour
m5ad.8xlarge	$0.3193 per Hour	$1.7913 per Hour
m5ad.12xlarge	$0.4789 per Hour	$2.6869 per Hour
m5ad.16xlarge	$0.6385 per Hour	$3.5825 per Hour
m5ad.24xlarge	$0.9578 per Hour	$5.3738 per Hour
m5d.large	$0.02 per Hour	$0.112 per Hour
m5d.xlarge	$0.0399 per Hour	$0.2239 per Hour
m5d.2xlarge	$0.0909 per Hour	$0.4478 per Hour
m5d.4xlarge	$0.1638 per Hour	$0.8956 per Hour
m5d.8xlarge	$0.3193 per Hour	$1.7913 per Hour
m5d.12xlarge	$0.554 per Hour	$2.6869 per Hour
m5d.16xlarge	$0.8337 per Hour	$3.5825 per Hour
m5d.24xlarge	$0.9678 per Hour	$5.3738 per Hour
m5n.large	$0.02 per Hour	$0.112 per Hour
m5n.xlarge	$0.0399 per Hour	$0.2239 per Hour
m5n.2xlarge	$0.0813 per Hour	$0.4478 per Hour
m5n.4xlarge	$0.1629 per Hour	$0.8956 per Hour
m5n.8xlarge	$0.3193 per Hour	$1.7913 per Hour
m5n.12xlarge	$0.5305 per Hour	$2.6869 per Hour
m5n.16xlarge	$0.6867 per Hour	$3.5825 per Hour
m5n.24xlarge	$0.9578 per Hour	$5.3738 per Hour
m5n.metal	$2.4086 per Hour	$6.8272 per Hour
m5dn.large	$0.02 per Hour	$0.112 per Hour
m5dn.xlarge	$0.0445 per Hour	$0.2239 per Hour
m5dn.2xlarge	$0.0819 per Hour	$0.4478 per Hour
m5dn.4xlarge	$0.1622 per Hour	$0.8956 per Hour
m5dn.8xlarge	$0.3193 per Hour	$1.7913 per Hour
m5dn.12xlarge	$0.51 per Hour	$2.6869 per Hour
m5dn.16xlarge	$0.6385 per Hour	$3.5825 per Hour
m5dn.24xlarge	$0.9578 per Hour	$5.3738 per Hour
m5dn.metal	$1.2003 per Hour	$5.6066 per Hour
m5zn.large	$0.02 per Hour	$0.112 per Hour
m5zn.xlarge	$0.0452 per Hour	$0.2239 per Hour
m5zn.2xlarge	$0.0798 per Hour	$0.4478 per Hour
m5zn.3xlarge	$0.1197 per Hour	$0.6717 per Hour
m5zn.6xlarge	$0.2395 per Hour	$1.3435 per Hour
m5zn.12xlarge	$0.4789 per Hour	$2.6869 per Hour
m5zn.metal	$0.4789 per Hour	$2.6869 per Hour
m5a.large	$0.02 per Hour	$0.112 per Hour
m5a.xlarge	$0.0409 per Hour	$0.2239 per Hour
m5a.2xlarge	$0.0852 per Hour	$0.4478 per Hour
m5a.4xlarge	$0.1645 per Hour	$0.8956 per Hour
m5a.8xlarge	$0.3262 per Hour	$1.7913 per Hour
m5a.12xlarge	$0.4789 per Hour	$2.6869 per Hour
m5a.16xlarge	$0.6385 per Hour	$3.5825 per Hour
m5a.24xlarge	$0.9578 per Hour	$5.3738 per Hour
m6g.medium	$0.0105 per Hour	N/A*
m6g.large	$0.021 per Hour	N/A*
m6g.xlarge	$0.0419 per Hour	N/A*
m6g.2xlarge	$0.0838 per Hour	N/A*
m6g.4xlarge	$0.1676 per Hour	N/A*
m6g.8xlarge	$0.3352 per Hour	N/A*
m6g.12xlarge	$0.5028 per Hour	N/A*
m6g.16xlarge	$0.6705 per Hour	N/A*
m6g.metal	$0.6705 per Hour	N/A*
m6gd.medium	$0.0105 per Hour	N/A*
m6gd.large	$0.021 per Hour	N/A*
m6gd.xlarge	$0.0419 per Hour	N/A*
m6gd.2xlarge	$0.0838 per Hour	N/A*
m6gd.4xlarge	$0.1676 per Hour	N/A*
m6gd.8xlarge	$0.3352 per Hour	N/A*
m6gd.12xlarge	$0.5182 per Hour	N/A*
m6gd.16xlarge	$0.6786 per Hour	N/A*
m6gd.metal	$0.7082 per Hour	N/A*
t4g.nano	$0.0028 per Hour	N/A*
t4g.micro	$0.0025 per Hour	N/A*
t4g.small	$0.005 per Hour	N/A*
t4g.medium	$0.0101 per Hour	N/A*
t4g.large	$0.0202 per Hour	N/A*
t4g.xlarge	$0.0403 per Hour	N/A*
t4g.2xlarge	$0.0806 per Hour	N/A*
m6i.large	$0.021 per Hour	$0.113 per Hour
m6i.xlarge	$0.0419 per Hour	$0.2259 per Hour
m6i.2xlarge	$0.0838 per Hour	$0.4518 per Hour
m6i.4xlarge	$0.1676 per Hour	$0.9036 per Hour
m6i.8xlarge	$0.3352 per Hour	$1.8072 per Hour
m6i.12xlarge	$0.5487 per Hour	$2.7108 per Hour
m6i.16xlarge	$0.6775 per Hour	$3.6145 per Hour
m6i.24xlarge	$1.0057 per Hour	$5.4217 per Hour
m6i.32xlarge	$1.3409 per Hour	$7.2289 per Hour
m6i.metal	$1.3409 per Hour	$7.2289 per Hour
General Purpose - Previous Generation		
m1.small	N/A*	N/A*
m1.medium	N/A*	N/A*
